FIPS_CODE,fips,mean,_3_14_20,_6_14_20,_8_14_20,_11_2_20,newcases_all,newcases_p1,newcases_p2,newcases_p3,IncidenceRate,Population
08033,8033,2055,0,0,2,4,4,0,97.323600973,97.323600973,194.64720195,2055
08035,8035,351154,4,915,1957,5713,5709,259.43033541,296.73590504,1069.6161798,1625.7824202,351154
08037,8037,55127,20,652,1157,1629,1609,1146.4436664,916.06653727,856.20476355,2918.7149673,55127
08039,8039,26729,0,59,122,320,320,220.7340342,235.69905346,740.76845374,1197.2015414,26729
08041,8041,720403,3,2128,5817,14139,14136,294.97378551,512.07449164,1155.1867496,1962.2350268,720403
08043,8043,47839,0,31,148,1034,1034,64.800685633,244.57032965,1852.0454023,2161.4164176,47839
08045,8045,60061,0,218,826,1395,1395,362.96431961,1012.3041574,947.37017366,2322.6386507,60061
08047,8047,6243,0,7,18,49,49,112.12558065,176.19734102,496.55614288,784.87906455,6243
08049,8049,15734,0,18,58,202,202,114.40193212,254.22651583,915.21545697,1283.8439049,15734
08051,8051,17462,7,182,282,337,330,1002.1761539,572.67208796,314.96964838,1889.8178903,17462
08053,8053,820,0,3,3,6,6,365.85365854,0,365.85365854,731.70731707,820
08055,8055,6897,0,3,8,43,43,43.497172684,72.495287806,507.46701464,623.45947513,6897
08057,8057,1392,0,1,9,12,12,71.83908046,574.71264368,215.51724138,862.06896552,1392
08059,8059,582881,9,2552,4527,11300,11291,436.28116202,338.83417027,1161.986752,1937.1020843,582881
08061,8061,1406,0,0,0,6,6,0,0,426.74253201,426.74253201,1406
